CODIGO DA CONTA,DESCRICAO DA CONTA,DATA,VALOR
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2020-12-31 00:00:00,451359.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2021-03-31 00:00:00,123670.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2021-06-30 00:00:00,250415.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2021-09-30 00:00:00,380385.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2021-12-31 00:00:00,520178.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2022-03-31 00:00:00,134350.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2022-06-30 00:00:00,269571.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2022-09-30 00:00:00,411728.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2022-12-31 00:00:00,565557.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2023-03-31 00:00:00,150932.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2023-06-30 00:00:00,302757.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2023-09-30 00:00:00,460358.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2023-12-31 00:00:00,628042.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2024-03-31 00:00:00,166533.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2024-03-31 00:00:00.1,166533.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2024-06-30 00:00:00,356057.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2024-09-30 00:00:00,567815.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2024-12-31 00:00:00,812485.0
6.01.01.02,"DEPRECIACAO, AMORTIZACAO E EXAUSTAO",2025-03-31 00:00:00,229607.0
6.01.01.03,PARTICIPACAO NOS RESULTADOS DOS COLABORADORES,2010-03-31 00:00:00,20093.0
6.01.01.03,PARTICIPACAO NOS RESULTADOS DOS COLABORADORES,2010-06-30 00:00:00,35409.0
6.01.01.03,PARTICIPACAO NOS RESULTADOS DOS COLABORADORES,2010-09-30 00:00:00,57651.0
6.01.01.03,PARTICIPACAO NOS RESULTADOS DOS COLABORADORES,2010-12-31 00:00:00,84859.0
6.01.01.03,PARTICIPACAO NOS RESULTADOS DOS COLABORADORES,2011-03-31 00:00:00,18845.0
6.01.01.03,PARTICIPACAO NOS RESULTADOS DOS COLABORADORES,2011-06-30 00:00:00,43493.0
6.01.01.03,PARTICIPACAO NOS RESULTADOS DOS COLABORADORES,2011-09-30 00:00:00,68172.0
6.01.01.03,PARTICIPACAO NOS RESULTADOS DOS COLABORADORES,2011-12-31 00:00:00,93354.0
6.01.01.03,PARTICIPACAO NOS RESULTADOS DOS COLABORADORES,2012-03-31 00:00:00,22944.0
6.01.01.03,PARTICIPACAO NOS RESULTADOS DOS COLABORADORES,2012-06-30 00:00:00,45574.0
6.01.01.03,PARTICIPACAO NOS RESULTADOS DOS COLABORADORES,2012-09-30 00:00:00,74384.0
6.01.01.03,PARTICIPACAO NOS RESULTADOS DOS COLABORADORES,2012-12-31 00:00:00,108466.0
6.01.01.03,PARTICIPACAO NOS RESULTADOS DOS COLABORADORES,2013-03-31 00:00:00,28659.0
6.01.01.03,PARTICIPACAO NOS RESULTADOS DOS COLABORADORES,2013-06-30 00:00:00,63665.0
6.01.01.03,PARTICIPACAO NOS RESULTADOS DOS COLABORADORES,2013-09-30 00:00:00,102179.0
6.01.01.03,PARTICIPACAO NOS RESULTADOS DOS COLABORADORES,2013-12-31 00:00:00,142872.0
6.01.01.03,PARTICIPACAO NOS RESULTADOS DOS COLABORADORES,2014-03-31 00:00:00,35425.0
6.01.01.03,PARTICIPACAO NOS RESULTADOS DOS COLABORADORES,2014-06-30 00:00:00,71504.0
6.01.01.03,PARTICIPACAO NOS RESULTADOS DOS COLABORADORES,2014-09-30 00:00:00,114978.0
6.01.01.03,PARTICIPACAO NOS RESULTADOS DOS COLABORADORES,2014-12-31 00:00:00,168138.0
6.01.01.03,PARTICIPACAO NOS RESULTADOS DOS COLABORADORES,2015-03-31 00:00:00,37162.0
6.01.01.03,PARTICIPACAO NOS RESULTADOS DOS COLABORADORES,2015-06-30 00:00:00,85529.0
6.01.01.03,PARTICIPACAO NOS RESULTADOS DOS COLABORADORES,2015-09-30 00:00:00,134181.0
6.01.01.03,PARTICIPACAO NOS RESULTADOS DOS COLABORADORES,2015-12-31 00:00:00,194959.0
6.01.01.03,PARTICIPACAO NOS RESULTADOS DOS COLABORADORES,2016-03-31 00:00:00,44743.0
